"Sample","Bay","Zone","Re_grid","Year","Season","nseines","ntrawls","Alo. alabamae","Alo. chrysochloris","Anc. cubana","Anc. hepsetus","Anc. lyolepis","Anc. mitchilli","Anchoa spp.","Bai. chrysoura","Brevoortia spp.","Car. crysos","Car. hippos","Car. latus","Chl. chrysurus","Clupeidae spp.","Cyp. variegatus","Dec. punctatus","Dia. auratus","Dor. cepedianum","Dor. petenense","Eucinostomus spp.","Fun. confluentus","Fun. grandis","Fun. seminolis","Fun. similis","Gam. holbrooki","Hae. aurolineatum","Har. jaguana","Hyp. harringtonensis","Hyp. meeki","Hyp. unifasciatus","Hyporhamphus spp.","Lag. rhomboides","Lei. xanthurus","Luc. goodei","Luc. parva","Mem. martinica","Menidia spp.","Mug. cephalus","Mug. curema","Mug. trichodon","Mugil spp.","Oli. saurus","Opi. oglinum","Ort. chrysoptera","Pep. burti","Pep. paru","Poe. latipinna","Sar. aurita","Sel. setapinnis","Ste. caprinus","bottomveg","temp","pH","sal","DO","vis"
"AP_A1_2004_4","AP","A",1,2004,4,2,1,0,0,0,0.00141942,0,1.186562629,0,0,0,0,0,0,0.068927991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141942,0,0,0,0.00851652,0.224268355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,7.96666666666667,22.8,8,0.65
"AP_A1_2005_1","AP","A",1,2005,1,7,1,0,0,0,0,0,0,0,0,0.108281466,0,0,0,0,0,0,0,0,0,0,0,0,0.00283884,0,0,0,0,0,0,0,0,0,0.00567768,15.73269236,0,0,0,0.006083228,0.173980334,0.000405549,0,0,0,0,0,0,0,0,0,0,0,1.42857142857143,16.775,7.9125,18.45,9.8125,0.666666666666667
"AP_A1_2005_3","AP","A",1,2005,3,5,1,0,0,0,0.003974376,0,0.158370056,0,0.030634663,0.012490896,0,0.001135536,0,0.000567768,0,0,0,0,0,0.001703304,0.016465272,0,0,0,0,0,0,0,0,0,0,0,0.003406608,0.000567768,0,0,0.004542144,0.000567768,0.000567768,0,0,0,0.003406608,0,0.00283884,0,0.015317331,0,0,0,0,0,30.15,8.08333333333333,15.7333333333333,6.68333333333333,0.7
"AP_A1_2006_1","AP","A",1,2006,1,4,1,0,0,0,0,0,0.089923003,0,0.00070971,1.141923366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141942,2.570062951,0,0,0,0.00141942,0.535831039,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,8,14.04,8.88,0.633333333333333
"AP_A1_2006_3","AP","A",1,2006,3,5,1,0,0,0.269689794,0.010219824,0.053937959,0.954405584,0,0.000567768,0.00283884,0,0,0,0.000567768,0,0,0,0,0,0,0.008226434,0,0,0,0,0,0,0.00851652,0,0,0,0,0.01220081,0.013058664,0,0,0,0.00567768,0.001135536,0.000567768,0,0,0.003406608,0.001703304,0,0,0,0,0,0,0,0,30.3666666666667,8.05,32.4,5.65,0.46
"AP_A1_2007_1","AP","A",1,2007,1,4,1,0,0,0,0,0,2.855805755,0,0,0.041872889,0,0,0,0,0,0,0,0,0,0,0,0,0.00354855,0,0,0,0,0,0,0,0,0,0.112843888,0.835012678,0,0,0,0.01206507,0.00283884,0,0,0,0,0,0,0,0,0,0,0,0,0,18.42,8.06,23.82,9.72,1.2
"AP_A1_2007_4","AP","A",1,2007,4,5,1,0,0,0,0.001703304,0,0.173446918,0,0.011065274,0,0,0,0,0.019304112,0,0,0,0,0,0,0.001135536,0,0,0,0.000567768,0,0,0.00283884,0,0,0,0,0.004542144,0,0,0,0.000567768,0.00283884,0.031795007,0,0,0,0.000567768,0,0,0,0.007658666,0,0,0,0,0,21.4833333333333,7.91666666666667,27.1666666666667,8,0.375
"AP_A1_2008_1","AP","A",1,2008,1,3,1,0,0,0,0,0,0.014282626,0,0.038293329,0.142888277,0,0,0,0,0,0,0,0,0,0,0.007658666,0,0,0,0,0,0,0,0,0,0,0,0.077267659,0.097997393,0,0,0,0.00378512,0.0141942,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,8.025,18.4,8.825,0.95
"AP_A1_2008_2","AP","A",1,2008,2,7,2,0,0,0,0.055154605,0.017212435,0.010138714,0,0.004234881,0.003244389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016627491,0,0,0,0,0.007299874,0.068795353,0,0,0.000405549,0.006894326,0.000405549,0.000811097,0,0,0,0,0,0,0.015317331,0,0,0,0,0,24.5888888888889,7.84444444444444,30.8888888888889,7.75555555555556,0.5375
"AP_A1_2008_4","AP","A",1,2008,4,4,1,0,0,0,0,0,0.738229229,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212913,0,0,0,0,0,0,0,0,0,0,0,0.00425826,0,0,0,0,0.0070971,0,0,0,0,0.00141942,0,0,0,0.072939673,0,0,0,0,0,20.06,8.04,23.04,10,0.466666666666667
"AP_A1_2009_1","AP","A",1,2009,1,4,2,0,0,0,0,0,0.581773178,0,0.021564773,0.01987188,0,0,0,0,0,0,0,0,0,0,0,0,0.00283884,0,0,0.00070971,0,0,0,0,0,0,0.00212913,0.489579628,0,0,0,0.00070971,0.310852974,0,0,0,0,0,0,0,0,0.00283884,0,0,0,0,18.4666666666667,7.86666666666667,17.8,9.16666666666667,0.45
"AP_A1_2009_3","AP","A",1,2009,3,4,1,0,0,0,0.0070971,0,0.480342708,0,0.00425826,0.00070971,0,0.00070971,0,0.007658666,0,0,0,0,0,0.00567768,0.00283884,0,0,0,0,0,0,0.008368376,0,0,0,0,0.00425826,0.00496797,0,0,0,0.0070971,0.00283884,0.00354855,0,0,0.00070971,0,0,0,0,0,0,0,0,0,27.84,7.82,27.4,5.88,0.6
"AP_A1_2010_2","AP","A",1,2010,2,4,1,0,0,0,0.00638739,0,0.629078608,0,0.100895951,0.442149321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00851652,0.155278343,0,0,0.00496797,0.00496797,0.00212913,0.00070971,0,0,0,0,0,0,0,0,0,0,0,0,27.36,7.88,28.1,5.7,0.525
"AP_A1_2010_3","AP","A",1,2010,3,2,3,0,0,0,0,0.002552889,1.885368517,0,0.002552889,0.003972309,0,0,0,0,0,0,0,0,0,0,0.00283884,0,0,0,0,0,0,0.00141942,0,0,0,0,0.01845246,0.007944617,0,0,0.265431534,0.028388399,0.00141942,0,0,0,0,0,0.007944617,0,0.002552889,0,0,0.002552889,0,0,31.08,8.08,28.72,6.42,0.58
"AP_A1_2011_1","AP","A",1,2011,1,5,1,0,0,0,0,0,0.000567768,0,0,0.053937959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001135536,0,0,0,0,0,0,0,0.000567768,2.831243831,0,0,0,0,0.013626432,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,8.15,21.4166666666667,8.3,0.175
"AP_A1_2012_1","AP","A",1,2012,1,5,3,0,0,0,0,0,0.00283884,0,1.015646563,0.010947842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001135536,0.180161987,0,0,0,0.001135536,0.032362775,0,0,0,0,0,0.002687251,0,0,0,0,0,0,0,15.7625,8.2,26.7285714285714,9.4,0.65
"AP_A1_2012_2","AP","A",1,2012,2,7,3,0,0,0.002552889,0.026473363,0,0.520392093,0,0.031609817,0,0,0,0,0,0,0,0,0,0,0,0.000811097,0,0,0,0.000811097,0,0,0,0,0,0,0,0.005272131,0.021088525,0,0,0.007705423,0.003244389,0.050288022,0.008110971,0,0,0.000811097,0,0.001216646,0.022692343,0,0.000405549,0,0,0,0,26.63,8.01,31.62,6.24,0.35
"AP_A1_2012_3","AP","A",1,2012,3,5,1,0,0,0.114879986,0.01135536,0,7.622224533,0,0.001135536,0,0,0,0,1.686041991,0,0,0,0,0,0,0.001135536,0,0,0,0,0,0,0.011923128,0,0,0,0,0.00283884,0.001135536,0,0,0,0.01135536,0,0.004542144,0,0,0.000567768,0,0,0,0.007658666,0,0,0,0,0,27.3166666666667,7.91666666666667,30.4166666666667,5.78333333333333,0.52
"AP_A1_2012_4","AP","A",1,2012,4,4,1,0,0,0,0,0,3.480021215,0,0,0,0,0,0,0.007658666,0,0,0,0,0,0,0.00425826,0,0,0,0,0,0,0,0,0,0,0,0.00425826,0,0,0,0,0.01206507,0.00070971,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,8.06,32.36,7.7,0.35
"AP_A1_2013_1","AP","A",1,2013,1,5,2,0,0,0,0,0,0.074602915,0,0.004254814,0.02271072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283884,0.005958118,0,0,0,0.000567768,0.359964905,0,0,0,0,0,0,0,0,0.000567768,0,0,0,0,17.0571428571429,8.25714285714286,22.9,9.35714285714286,0.58
"AP_A1_2013_2","AP","A",1,2013,2,3,1,0,0,0,0.139103157,0.00283884,1.334394775,0,0.030634663,0.023833851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042582599,0,0,0,0,0.00094628,0.00283884,0,0,0,0,0,0,0,0,0,0,0,0,22.15,8.15,21.775,8.15,0.45
"AP_A1_2013_4","AP","A",1,2013,4,5,2,0,0,0.001135536,0.005734181,0.001703304,7.628295308,0,0.19287745,0,0,0,0,0.08041599,0,0,0,0,0,0,0.000567768,0,0,0,0,0,0,0,0,0,0,0,0.001703304,0,0,0,0.000567768,0.001135536,0,0,0,0,0,0.002271072,0,0.02418526,0.003829333,0,0,0,0,0,23.4142857142857,8.1,21.0428571428571,8.3,0.483333333333333
"AP_A1_2014_1","AP","A",1,2014,1,2,3,0,0,0,0,0,0.260394634,0,0,0.0070971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012488828,0.036333016,0,0,0,0.00141942,1.392450991,0.00141942,0,0,0,0,0,0,0,0,0,0,0,0,12.82,8.18,15.42,9.22,0.7
"AP_A1_2014_2","AP","A",1,2014,2,1,2,0,0,0.003829333,0,0.003829333,14.28101024,0,0.003829333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004030877,0.197671453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,7.96666666666667,27.4666666666667,6.13333333333333,0.6
"AP_A1_2014_3","AP","A",1,2014,3,9,1,0,0,0,0.004100547,0,6.076283544,0,0.00094628,0,0,0.001261707,0,0.013924847,0,0,0,0,0,0.00189256,0.004415973,0,0,0,0,0,0,0.003154267,0,0,0,0,0.009778226,0.006308533,0,0,0.020187306,0.00757024,0.007254813,0.017663893,0,0,0.00189256,0,0.00189256,0.006962423,0,0,0,0,0,0,28.78,8.14,27.52,5.43,0.4
"AP_A1_2014_4","AP","A",1,2014,4,2,1,0,0,0,0,0,0.041728187,0,0.008061753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283884,0,0,0,0,0.00567768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4666666666667,8.2,24.5666666666667,8.35,0.5
"AP_A1_2015_1","AP","A",1,2015,1,4,2,0,0,0,0,0,0.403820555,0,0.016951987,0.055357379,0,0,0,0,0,0,0,0,0,0,0,0,0.01135536,0,0.00993594,0,0,0,0,0,0,0,0.00070971,0.117102148,0,0,0,0.00638739,0.076648678,0,0,0,0,0,0,0.003481212,0,0,0,0,0,0,15.85,8.31666666666667,11.7333333333333,9.96666666666667,0.866666666666667
"AP_A1_2015_2","AP","A",1,2015,2,5,1,0,0,0,0.003406608,0,8.955288496,0,0.003974376,0.114689134,0,0,0,0,0,0,0,0,0,0.001135536,0,0,0,0,0,0,0,0,0,0,0,0,0.006245448,0.029801617,0,0,0.021007416,0.006813216,0.000567768,0.001703304,0,0,0,0,0.002271072,0,0,0,0,0,0,0,27.9166666666667,8.13333333333333,19.6833333333333,7.53333333333333,0.38
"AP_A1_2015_3","AP","A",1,2015,3,2,1,0,0,0,0.091903988,0,1.089687243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01703304,0,0,0,0,0,0,0,0,0,0,0,0.028388399,0.00141942,0,0,0,0,0.00141942,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,8,36.3333333333333,6.06666666666667,0.533333333333333
"AP_A1_2015_4","AP","A",1,2015,4,5,3,0,0,0,0.002552889,0,1.842344232,0.002552889,0.051057771,0,0,0,0,0.380380397,0,0,0,0,0,0,0.001135536,0,0,0,0,0,0,0,0,0,0,0,0.000567768,0.005673545,0,0,0.001135536,0.027820631,0,0.000567768,0,0,0,0,0,0,0,0,0,0,0,0,20.7125,8.025,20.7875,8.175,0.9
"AP_A1_2016_2","AP","A",1,2016,2,3,2,0,0,0,0.01135536,0,0.223767303,0,0,0.215751836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037895412,0.345804436,0,0,0.027442119,0.0047314,0.807176823,0.085165198,0,0,0,0,0,0.036469837,0.003829333,0,0,0,0,0,25.24,7.92,19.82,6.96,0.6
"AP_A1_2016_3","AP","A",1,2016,3,3,1,0,0,0,0.00094628,0,0.36820853,0,0,0.00189256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094628,0,0,0,0,0.00189256,0.00094628,0,0,0,0.0047314,0,0.00094628,0,0,0.00283884,0,0,0,0,0,0,0,0,0,29.35,8.075,25.575,6.925,0.5
"AP_A1_2016_4","AP","A",1,2016,4,3,1,0,0,0,0.00378512,0,0.370083898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189256,0.00094628,0,0,0,0.01797932,0.00094628,0.00189256,0,0,0,0,0,0,0,0,0,0,0,0,21.5,8.125,29.8,8,0.65
"AP_A1_2017_1","AP","A",1,2017,1,5,1,0,0,0,0,0,0.00567768,0,0,0.158975037,0,0,0,0,0,0,0,0,0,0,0,0,0.001703304,0,0,0,0,0,0,0,0,0,0.004542144,0.179675439,0,0,0,0.016465272,0.012490896,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8666666666667,7.96666666666667,23.7833333333333,8.33333333333333,0.375
"AP_A1_2017_3","AP","A",1,2017,3,6,2,0,0,0,0.020048731,0,0.106386114,0,0.01230164,0.00047314,0,0,0.00047314,0.004593264,0.00141942,0,0,0,0,0,0.027348196,0,0,0,0,0,0,0.00189256,0,0,0,0,0.010497506,0.018234918,0,0,0.00189256,0.098886258,0.00047314,0.042582599,0,0,0.00425826,0,0,0,0,0,0,0,0,0,29.625,8.05714285714286,19.625,6.27142857142857,0.6
"AP_A1_2017_4","AP","A",1,2017,4,5,4,0,0,0,0,0,3.419909133,0,0.080983758,0.001703304,0,0,0,0.009573332,0,0,0,0,0,0,0.004753506,0,0,0,0,0,0,0,0,0,0,0,0.009573332,0.007658666,0,0,0.007948752,0.003406608,0,0,0.000567768,0,0.001914666,0,0,0,0,0,0,0,0,0,23.5777777777778,7.93333333333333,23.4888888888889,7.87777777777778,0.628571428571429
"AP_A2_1998_4","AP","A",2,1998,4,2,1,0,0,0,0,0,0.260394634,0,0,0,0,0,0,0.21444264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070970999,0.00141942,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8666666666667,8.3,18.8,7.9,1.8
"AP_A2_1999_1","AP","A",2,1999,1,1,1,0,0,0,0,0,0.030634663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007658666,0.00283884,0,0,0,0,0.00283884,0,0,0,0,0,0,0.007658666,0,0,0,0,0,0,15.9,8,18.2,8.5,1.6
"AP_A2_1999_2","AP","A",2,1999,2,2,1,0,0,0,3.544570439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055357379,0,0.00141942,0,0,0.00141942,0.0070971,0,0,0.048260279,0.00425826,0,0,0,0,0,0,0.065293319,0,0,0,0,0,0,25,30.2,7.86666666666667,30.2666666666667,7.6,0.833333333333333
"AP_A2_1999_3","AP","A",2,1999,3,3,2,0,0,0,0.00283884,0,1.109427609,0,0.394421284,0,0,0,0,0,0,0,0,0,0,0.003829333,0.00283884,0,0,0,0,0,0,0.00094628,0,0,0,0,0,0.02680533,0,0,0.042582599,0.00094628,0,0,0,0,0.00378512,0,0,0,0,0,0,0,0,0,30.4,7.98,26.32,7.28,0.5
"AP_A2_2000_1","AP","A",2,2000,1,1,1,0,0,0,0,0,0.638508094,0,0,0.00851652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47408627,0,0,0,0.053937959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.75,8.55,17,9.85,0.3
"AP_A2_2000_2","AP","A",2,2000,2,2,1,0,0,0,0.00425826,0,0.655992475,0,0,0.01561362,0,0.00141942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009078086,0.804159899,0,0,0.00283884,0.00141942,0,0,0,0,0,0,0.048260279,0.007658666,0,0,0,0,0,15,26.1,7.73333333333333,26.6666666666667,7.86666666666667,0.6
"AP_A2_2000_3","AP","A",2,2000,3,3,2,0,0,0,0.02775161,0,0.157064668,0,0,0,0,0.00094628,0,0.049781327,0,0,0,0,0,0.00189256,0.00283884,0,0,0,0,0,0,0,0,0,0,0,0.01230164,0.007658666,0,0,0.00189256,0.003829333,0,0,0,0,0,0,0.015184693,0,0,0,0,0,0,3.33333333333333,29.62,8.68,27.92,6.28,0.625
"AP_A2_2000_4","AP","A",2,2000,4,2,1,0,0,0,0,0,0,0,0.0070971,0,0,0,0,0,0,0,0,0,0,0,0.00851652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06266181,0,0,0,0,50,25.6666666666667,7.93333333333333,28.4333333333333,6.73333333333333,1.5
"AP_A2_2001_2","AP","A",2,2001,2,6,1,0,0,0,0.00141942,0,0.078390791,0,0.056303659,0.635515433,0,0.00047314,0,0,0,0,0,0,0,0.0047314,0.00141942,0,0,0,0,0,0,0,0,0,0,0,0.049206559,3.549734756,0,0,0.00047314,0.00804338,0.00378512,0.00047314,0,0,0,0,0.046840859,0,0,0,0,0,0,32.6666666666667,24.6285714285714,8.32857142857143,17,7.98571428571429,0.225
"AP_A2_2001_3","AP","A",2,2001,3,8,1,0,0,0,0.00141942,0,0.026672691,0,0.0207883,0.030162674,0,0.00070971,0,0,0,0,0,0,0,0,0.00780681,0,0,0,0,0,0,0.117811858,0,0,0,0,0.00922623,0.013839345,0,0,0.00780681,0.005322825,0.012419925,0.00212913,0,0,0.00283884,0.00922623,0.037879907,0,0.000354855,0,0.000354855,0,0,10,29.3777777777778,8.16666666666667,24.0333333333333,6.58888888888889,0.566666666666667
"AP_A2_2001_4","AP","A",2,2001,4,9,2,0,0,0,0.00490869,0,0.081507658,0,0.001261707,0,0,0,0,0,0,0,0,0,0,0,0.008831946,0,0,0,0,0,0,0,0,0,0,0,0.005224117,0.000315427,0,0,0,0.032173519,0,0,0,0,0.000315427,0,0.002207987,0,0,0,0,0,0,15.5555555555556,20.6545454545455,8.10909090909091,23.5090909090909,7.93636363636364,0.925
"AP_A2_2002_1","AP","A",2,2002,1,5,3,0,0,0,0,0,0.107788628,0,0.137796266,0.007944158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010063641,1.030989861,0,0,0,0.00283884,0.011923128,0,0,0,0,0,0,0,0,0,0,0,0,12,13.9875,8.05,25.5125,8.9375,0.725
"AP_A2_2002_2","AP","A",2,2002,2,11,2,0,0,0,0.160041257,0,2.11437711,0,0.009290749,0.176524229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000258076,0,0,0,0,0.177848526,0.991229023,0,0,0.053421806,0.003096916,0.002322687,0.004129222,0,0,0.000258076,0,0.040001836,0,0,0,0,0,0,17.7272727272727,25.5692307692308,7.74615384615385,23.1,7.56923076923077,0.611111111111111
"AP_A2_2002_3","AP","A",2,2002,3,2,2,0,0,0,0.007658666,0,0,0,0.157555617,0.01277478,0,0,0,0.003829333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149343981,0,0,0.01135536,0,0,0,0,0,0.00141942,0,0,0,0.003829333,0,0,0,0,0,30.65,8.075,29.25,6.6,0.7
"AP_A2_2003_1","AP","A",2,2003,1,5,3,0,0,0,0,0,0.021848731,0,0,0.198266767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220116185,20.77678377,0,0,0,0.027252863,0.186795668,0,0,0,0,0,0,0,0,0,0,0,0,8,15.25,8.2625,16.85,9.625,1.13333333333333
"AP_A2_2003_2","AP","A",2,2003,2,5,1,0,0,0,0.009652056,0,1.019530031,0,0.001135536,0.122637885,0,0.000567768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119799046,0.057912335,0,0,0.012490896,0.010787592,0.002271072,0.01703304,0,0,0,0,0.017020635,0,0,0,0,0,0,15,28.15,7.875,16.05,5.475,0.6
"AP_A2_2003_3","AP","A",2,2003,3,2,5,0,0,0,0.030224784,0,3.382655168,0,0.004595199,0.066681728,0,0.027240064,0,0.006053993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141942,0.57421212,0,0,0,0.00993594,0.0070971,0,0,0,0.00141942,0.01845246,0.003063466,0.009190399,0,0,0,0,0,0,28.3,8.025,10.9571428571429,6.17142857142857,0.728571428571429
"AP_A2_2004_1","AP","A",2,2004,1,8,1,0,0,0,0,0,0.069906434,0,0,0.678482746,0,0,0,0,0,0,0,0,0,0,0,0,0.000354855,0,0,0,0,0.000354855,0,0,0,0,0.00425826,0.421181866,0,0,0,0.00283884,0.386791942,0.002483985,0,0,0,0,0,0,0,0,0,0,0,5,12.9444444444444,8.125,20.2555555555556,10.7555555555556,0.433333333333333
"AP_A2_2004_2","AP","A",2,2004,2,3,1,0,0,0,0.116657715,0,4.617821718,0,0.007658666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01608676,0.213974106,0,0,0.00094628,0,0.00094628,0,0,0,0,0,0.041636319,0,0,0,0,0,0,15,24.65,7.925,30.15,8.2,0.6
